Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2020-06-24 12:29:38.581 -0500,"Success",0:00:01,0,0,0,"20200624_122938.581/LogFile.txt","","",1
2020-06-24 12:29:59.758 -0500,"Success",0:00:01,0,0,0,"20200624_122959.758/LogFile.txt","","",1
2020-06-24 12:30:11.204 -0500,"Success",0:00:01,0,0,0,"20200624_123011.204/LogFile.txt","","",1
2020-06-24 12:31:37.762 -0500,"Success",0:00:01,0,0,0,"20200624_123137.762/LogFile.txt","","",1
2020-06-24 12:31:49.266 -0500,"Success",0:00:01,0,0,0,"20200624_123149.266/LogFile.txt","","",1
2020-06-24 12:32:49.521 -0500,"Success",0:00:01,0,0,0,"20200624_123249.521/LogFile.txt","","",1
2020-06-24 12:33:06.469 -0500,"Success",0:00:01,0,0,0,"20200624_123306.469/LogFile.txt","","",1
2020-06-24 12:33:41.282 -0500,"Success",0:00:01,0,0,0,"20200624_123341.282/LogFile.txt","","",1
2020-06-24 12:35:39.238 -0500,"Success",0:00:01,0,0,0,"20200624_123539.238/LogFile.txt","","",1
2020-06-24 12:35:51.396 -0500,"Success",0:00:01,0,0,0,"20200624_123551.396/LogFile.txt","","",1
2020-06-24 12:39:56.052 -0500,"Success",0:00:01,0,0,0,"20200624_123956.052/LogFile.txt","","",1
2020-06-24 12:40:40.863 -0500,"Success",0:00:01,0,0,0,"20200624_124040.863/LogFile.txt","","",1
2020-06-24 12:41:15.541 -0500,"Success",0:00:01,0,1,0,"20200624_124115.541/LogFile.txt","","",1
2020-06-24 12:41:25.855 -0500,"Failure",0:00:01,1,0,0,"20200624_124125.855/LogFile.txt","","Script Error -- Number of Errors logged: 1",0
2020-06-24 12:41:33.002 -0500,"Success",0:00:01,0,0,0,"20200624_124133.002/LogFile.txt","","",1
2020-06-24 12:51:35.390 -0500,"Success",0:00:01,0,0,0,"20200624_125135.390/LogFile.txt","","",1
2020-06-24 12:51:50.545 -0500,"Success",0:00:01,0,0,0,"20200624_125150.545/LogFile.txt","","",1
2020-06-24 12:51:58.938 -0500,"Success",0:00:01,0,0,0,"20200624_125158.938/LogFile.txt","","",1
2020-06-24 12:52:06.979 -0500,"Success",0:00:01,0,0,0,"20200624_125206.979/LogFile.txt","","",1
2020-06-24 12:52:27.214 -0500,"Success",0:00:01,0,0,0,"20200624_125227.214/LogFile.txt","","",1
2020-06-24 12:52:40.723 -0500,"Success",0:00:01,0,0,0,"20200624_125240.723/LogFile.txt","","",1
2020-06-24 12:52:53.653 -0500,"Success",0:00:01,0,0,0,"20200624_125253.653/LogFile.txt","","",1
2020-06-24 12:53:05.533 -0500,"Success",0:00:01,0,0,0,"20200624_125305.533/LogFile.txt","","",1
2020-06-24 12:53:21.486 -0500,"Success",0:00:01,0,0,0,"20200624_125321.486/LogFile.txt","","",1
2020-06-24 12:53:37.387 -0500,"Success",0:00:01,0,0,0,"20200624_125337.387/LogFile.txt","","",1
2020-06-24 13:45:21.257 -0500,"Success",0:00:04,0,0,0,"20200624_134521.257/LogFile.txt","""low"":6.14","",1
2020-06-24 13:57:18.284 -0500,"Success",0:00:04,0,0,0,"20200624_135718.284/LogFile.txt","","",1
2020-06-24 13:58:44.147 -0500,"Failure",0:00:00,1,0,0,"20200624_135844.147/LogFile.txt","","SenseTalk Compiler Exception -- in getstockprice:\nSyntax Error at line 12: Syntax Error - can't understand ""fo"" at character 24",0
2020-06-24 13:59:25.127 -0500,"Success",0:00:04,0,0,0,"20200624_135925.127/LogFile.txt","","",1
2020-06-24 13:59:56.825 -0500,"Success",0:00:04,0,0,0,"20200624_135956.825/LogFile.txt","","",1
2020-06-24 14:00:09.859 -0500,"Success",0:00:04,0,0,0,"20200624_140009.859/LogFile.txt","","",1
2020-06-24 14:00:28.700 -0500,"Success",0:00:04,0,0,0,"20200624_140028.700/LogFile.txt","","",1
2020-06-24 14:00:39.905 -0500,"Success",0:00:05,0,0,0,"20200624_140039.905/LogFile.txt","","",1
2020-06-24 14:26:18.729 -0500,"Success",0:00:05,0,0,0,"20200624_142618.729/LogFile.txt","","",1
2020-06-24 14:26:32.115 -0500,"Success",0:00:05,0,0,0,"20200624_142632.115/LogFile.txt","","",1
2020-06-24 14:32:34.499 -0500,"Success",0:00:04,0,0,0,"20200624_143234.499/LogFile.txt","","",1
2020-06-24 14:34:25.972 -0500,"Success",0:00:04,0,0,0,"20200624_143425.972/LogFile.txt","","",1
2020-06-24 14:34:55.580 -0500,"Success",0:00:04,0,0,0,"20200624_143455.580/LogFile.txt","","",1
2020-06-24 14:35:24.906 -0500,"Success",0:00:04,0,0,0,"20200624_143524.906/LogFile.txt","","",1
2020-06-24 14:35:32.377 -0500,"Success",0:00:04,0,0,0,"20200624_143532.377/LogFile.txt","","",1
2020-06-24 14:35:42.262 -0500,"Success",0:00:04,0,0,0,"20200624_143542.262/LogFile.txt","","",1
2020-06-24 14:35:58.058 -0500,"Success",0:00:04,0,0,0,"20200624_143558.058/LogFile.txt","","",1
2020-06-24 14:36:27.766 -0500,"Success",0:00:04,0,0,0,"20200624_143627.766/LogFile.txt","","",1
2020-06-24 14:36:44.402 -0500,"Success",0:00:04,0,0,0,"20200624_143644.402/LogFile.txt","","",1
2020-06-24 14:37:12.731 -0500,"Success",0:00:04,0,0,0,"20200624_143712.731/LogFile.txt","","",1
2020-06-24 14:38:54.771 -0500,"Success",0:00:04,0,0,0,"20200624_143854.771/LogFile.txt","","",1
2020-06-24 14:39:18.233 -0500,"Success",0:00:04,0,0,0,"20200624_143918.233/LogFile.txt","","",1
2020-06-24 14:39:29.258 -0500,"Success",0:00:04,0,0,0,"20200624_143929.258/LogFile.txt","","",1
2020-06-24 14:39:37.997 -0500,"Success",0:00:04,0,0,0,"20200624_143937.997/LogFile.txt","","",1
2020-06-24 14:40:07.570 -0500,"Success",0:00:04,0,0,0,"20200624_144007.570/LogFile.txt","","",1
2020-06-24 14:40:59.309 -0500,"Failure",0:00:04,1,0,0,"20200624_144059.309/LogFile.txt","","AssertionFailed --  (assertion: myStockPrice is expectedStockPrice; actually: 6.15 IS NOT equal to 7.00)",1
2020-06-24 14:41:20.197 -0500,"Success",0:00:04,0,0,0,"20200624_144120.197/LogFile.txt","","",2
2020-06-24 14:43:55.098 -0500,"Failure",0:00:04,1,0,0,"20200624_144355.098/LogFile.txt","","AssertionFailed --  (assertion: myStockPrice is expectedStockPrice; actually:  IS NOT equal to 6.15)",1
2020-06-24 14:44:59.579 -0500,"Failure",0:00:05,1,0,0,"20200624_144459.579/LogFile.txt","","AssertionFailed --  (assertion: myStockPrice is expectedStockPrice; actually: 366. IS NOT equal to 6.15)",1
2020-06-24 14:45:24.347 -0500,"Failure",0:00:05,1,0,0,"20200624_144524.347/LogFile.txt","","AssertionFailed --  (assertion: myStockPrice is expectedStockPrice; actually: 366 IS NOT equal to 6.15)",1
2020-06-24 14:45:41.174 -0500,"Failure",0:00:05,1,0,0,"20200624_144541.174/LogFile.txt","","AssertionFailed --  (assertion: myStockPrice is expectedStockPrice; actually: 366 IS NOT equal to 6.15)",1
2020-06-24 14:45:55.534 -0500,"Failure",0:00:05,1,0,0,"20200624_144555.534/LogFile.txt","","AssertionFailed --  (assertion: myStockPrice is expectedStockPrice; actually: 366 IS NOT equal to 6.15)",1
2020-06-24 14:47:46.319 -0500,"Success",0:00:13,0,0,0,"20200624_144746.319/LogFile.txt","","",2
2020-06-24 14:51:13.825 -0500,"Success",0:00:15,0,0,0,"20200624_145113.825/LogFile.txt","","",2
2020-06-24 14:52:53.922 -0500,"Success",0:00:11,0,0,0,"20200624_145253.922/LogFile.txt","","",2
2020-06-24 14:55:23.673 -0500,"Failure",0:00:10,1,0,1,"20200624_145523.673/LogFile.txt","","File Not Found -- moveto Error - Could Not Open Image: ImageFound",2
2020-06-24 14:57:10.389 -0500,"Success",0:00:10,0,0,0,"20200624_145710.389/LogFile.txt","","",2
2020-06-24 14:57:47.804 -0500,"Success",0:00:10,0,0,0,"20200624_145747.804/LogFile.txt","","",2
2020-06-24 14:58:11.708 -0500,"Success",0:00:10,0,0,0,"20200624_145811.708/LogFile.txt","","",2
2020-09-17 12:34:34.798 -0500,"Failure",0:00:01,1,0,1,"20200917_123434.798/LogFile.txt","","No Remote Connection -- imagefound Error - Remote Connection Unavailable",1
2020-09-28 13:15:58.762 -0500,"Aborted",0:00:16,1,0,1,"20200928_131558.762/LogFile.txt","","",1
2020-09-28 13:20:10.304 -0500,"Failure",0:00:33,1,0,0,"20200928_132010.304/LogFile.txt","","AssertionFailed -- (false: ImageFound(text:myStockName, waitFor:5))",1
2020-10-01 08:10:56.316 -0500,"Failure",0:00:31,1,0,0,"20201001_081056.316/LogFile.txt","","AssertionFailed -- (false: ImageFound(text:myStockName, waitFor:5))",1
2020-10-01 08:11:32.099 -0500,"Failure",0:00:31,1,0,0,"20201001_081132.099/LogFile.txt","","AssertionFailed -- (false: ImageFound(text:myStockName, waitFor:5))",1
2020-10-01 08:12:17.903 -0500,"Success",0:00:01,0,0,0,"20201001_081217.903/LogFile.txt","","",1
2020-10-01 08:12:56.723 -0500,"Success",0:00:01,0,0,0,"20201001_081256.723/LogFile.txt","","",1
2020-10-01 08:13:54.391 -0500,"Success",0:00:01,0,0,0,"20201001_081354.391/LogFile.txt","","",1
2020-10-01 08:14:25.471 -0500,"Success",0:00:01,0,0,0,"20201001_081425.471/LogFile.txt","","",1
2020-10-01 09:58:20.083 -0500,"Success",0:00:01,0,0,0,"20201001_095820.083/LogFile.txt","","",1
2020-10-01 09:59:53.962 -0500,"Success",0:00:01,0,0,0,"20201001_095953.962/LogFile.txt","","",1
2020-10-12 15:11:03.622 -0500,"Success",0:00:01,0,0,0,"20201012_151103.622/LogFile.txt","","",1
2020-10-19 10:43:58.076 -0500,"Success",0:00:01,0,0,0,"20201019_104358.076/LogFile.txt","","",1
2020-12-09 11:39:22.330 -0600,"Success",0:00:01,0,0,0,"20201209_113922.330/LogFile.txt","","",1
2020-12-09 11:40:05.964 -0600,"Success",0:00:02,0,0,0,"20201209_114005.964/LogFile.txt","","",1
2020-12-09 11:40:56.215 -0600,"Success",0:00:01,0,0,0,"20201209_114056.215/LogFile.txt","","",1
2020-12-15 10:52:56.993 -0600,"Success",0:00:02,0,0,0,"20201215_105256.993/LogFile.txt","","",1
2021-01-11 13:49:31.601 -0600,"Success",0:00:02,0,0,0,"20210111_134931.601/LogFile.txt","","",1
2021-01-11 13:50:22.500 -0600,"Success",0:00:03,0,0,0,"20210111_135022.500/LogFile.txt","","",1
2021-05-13 10:59:59.344 -0500,"Success",0:00:01,0,0,0,"20210513_105959.344/LogFile.txt","","",1
