Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2020-08-13 12:59:02.519 -0500,"Success",0:00:04,0,0,0,"20200813_125902.519/LogFile.txt","","",1
2020-08-13 13:35:28.666 -0500,"Failure",0:00:13,1,0,1,"20200813_133528.666/LogFile.txt","","Image not found -- Image not found while scrolling up.",0
2020-08-13 13:36:00.801 -0500,"Failure",0:00:14,1,0,1,"20200813_133600.801/LogFile.txt","","Image not found -- Image not found while scrolling up.",0
2020-08-13 13:39:37.613 -0500,"Failure",0:00:14,1,0,1,"20200813_133937.613/LogFile.txt","","Image not found -- Image not found while scrolling up.",0
2020-08-13 13:40:04.410 -0500,"Success",0:00:07,0,0,0,"20200813_134004.410/LogFile.txt","","",1
2020-08-13 13:40:59.722 -0500,"Aborted",0:00:27,1,1,1,"20200813_134059.722/LogFile.txt","","",0
2020-08-13 13:41:35.715 -0500,"Success",0:00:08,0,0,0,"20200813_134135.715/LogFile.txt","","",1
2020-08-13 13:42:05.365 -0500,"Failure",0:00:27,1,1,1,"20200813_134205.365/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""Computers_mobile""",0
2020-08-13 13:42:46.504 -0500,"Aborted",0:00:14,1,1,1,"20200813_134246.504/LogFile.txt","","",0
2020-08-13 13:43:04.130 -0500,"Success",0:00:08,0,0,0,"20200813_134304.130/LogFile.txt","","",1
2020-08-13 13:53:27.945 -0500,"Failure",0:00:03,1,0,0,"20200813_135327.945/LogFile.txt","","STUnknownMessage -- ERROR: No Such Command: 'scrolluntilfound'",0
2020-08-13 13:53:45.291 -0500,"Failure",0:00:25,1,0,1,"20200813_135345.291/LogFile.txt","","Image not found -- Image not found while scrolling up.",0
2020-08-13 13:55:32.387 -0500,"Success",0:00:08,0,0,0,"20200813_135532.387/LogFile.txt","","",1
2020-08-13 14:46:09.559 -0500,"Failure",0:00:21,1,1,1,"20200813_144609.559/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""Computers_mobile""",0
2020-08-13 14:54:34.078 -0500,"Success",0:00:08,0,0,0,"20200813_145434.078/LogFile.txt","","",1
2020-08-13 14:55:30.712 -0500,"Success",0:00:08,0,0,0,"20200813_145530.712/LogFile.txt","","",1
2020-08-13 15:41:10.192 -0500,"Success",0:00:08,0,0,0,"20200813_154110.192/LogFile.txt","","",1
2020-08-13 15:46:00.746 -0500,"Success",0:00:07,0,0,0,"20200813_154600.746/LogFile.txt","","",1
2020-08-13 16:32:54.696 -0500,"Failure",0:00:21,1,1,1,"20200813_163254.696/LogFile.txt","","Image Not Found -- tap Error - No Image Found On Screen: ""Computers_mobile""",0
2020-08-13 16:35:19.867 -0500,"Failure",0:00:22,1,1,1,"20200813_163519.867/LogFile.txt","","Image Not Found -- tap Error - No Image Found On Screen: ""Computers_mobile""",0
2020-08-13 16:36:59.668 -0500,"Aborted",0:00:24,1,1,1,"20200813_163659.668/LogFile.txt","","",0
2020-08-13 16:39:15.050 -0500,"Failure",0:00:06,1,0,0,"20200813_163915.050/LogFile.txt","","STUnknownMessage -- ERROR: No Such Command: 'wait2'",0
2020-08-13 16:40:03.126 -0500,"Failure",0:00:27,1,1,1,"20200813_164003.126/LogFile.txt","","Image Not Found -- tap Error - No Image Found On Screen: ""Computers_mobile""",0
2020-08-13 16:42:44.679 -0500,"Success",0:00:14,0,0,0,"20200813_164244.679/LogFile.txt","","",1
2020-08-13 16:52:15.381 -0500,"Success",0:00:14,0,0,0,"20200813_165215.381/LogFile.txt","","",1
2020-08-13 16:55:05.392 -0500,"Aborted",0:00:15,1,1,1,"20200813_165505.392/LogFile.txt","","",0
2020-08-13 16:57:08.458 -0500,"Success",0:00:11,0,0,0,"20200813_165708.458/LogFile.txt","","",1
2020-08-14 08:36:23.512 -0500,"Success",0:00:11,0,0,0,"20200814_083623.512/LogFile.txt","","",1
2020-08-14 11:49:08.063 -0500,"Success",0:00:12,0,0,0,"20200814_114908.063/LogFile.txt","","",1
2020-08-17 15:47:33.906 -0500,"Success",0:00:11,0,0,0,"20200817_154733.906/LogFile.txt","","",1
2020-08-17 15:56:50.076 -0500,"Failure",0:00:26,1,1,1,"20200817_155650.076/LogFile.txt","","Image Not Found -- tap Error - No Image Found On Screen: ""Computers_mobile""",0
2020-08-17 15:59:01.490 -0500,"Success",0:00:11,0,0,0,"20200817_155901.490/LogFile.txt","","",1
2020-08-19 08:35:48.757 -0500,"Success",0:00:01,0,0,0,"20200819_083548.757/LogFile.txt","","",1
2020-08-19 08:38:41.215 -0500,"Success",0:00:01,0,0,0,"20200819_083841.215/LogFile.txt","","",1
2020-08-19 08:39:58.737 -0500,"Success",0:00:01,0,0,0,"20200819_083958.737/LogFile.txt","","",1
2020-08-19 08:42:26.809 -0500,"Success",0:00:01,0,0,0,"20200819_084226.809/LogFile.txt","","",1
