Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2020-08-13 14:26:14.297 -0500,"Success",0:00:07,0,0,0,"20200813_142614.297/LogFile.txt","","",1
2020-08-13 14:27:58.947 -0500,"Success",0:00:07,0,0,0,"20200813_142758.947/LogFile.txt","","",1
2020-08-13 14:29:51.130 -0500,"Success",0:00:07,0,0,0,"20200813_142951.130/LogFile.txt","","",1
2020-08-13 14:31:33.451 -0500,"Aborted",0:00:16,1,0,0,"20200813_143133.451/LogFile.txt","","",0
2020-08-13 14:32:39.669 -0500,"Aborted",0:00:00,1,0,0,"20200813_143239.669/LogFile.txt","","",0
2020-08-13 14:33:05.741 -0500,"Aborted",0:00:10,1,0,0,"20200813_143305.741/LogFile.txt","","",0
2020-08-13 14:34:33.694 -0500,"Success",0:00:07,0,0,0,"20200813_143433.694/LogFile.txt","","",1
2020-08-13 14:37:15.677 -0500,"Aborted",0:00:09,1,0,0,"20200813_143715.677/LogFile.txt","","",0
2020-08-13 14:40:38.503 -0500,"Aborted",0:00:01,1,0,0,"20200813_144038.503/LogFile.txt","","",0
2020-08-13 14:43:48.337 -0500,"Aborted",0:00:14,1,0,0,"20200813_144348.337/LogFile.txt","","",0
2020-08-13 14:44:28.657 -0500,"Success",0:00:07,0,0,0,"20200813_144428.657/LogFile.txt","","",1
2020-08-13 14:45:55.151 -0500,"Success",0:00:07,0,0,0,"20200813_144555.151/LogFile.txt","","",1
2020-08-13 14:55:16.661 -0500,"Success",0:00:07,0,0,0,"20200813_145516.661/LogFile.txt","","",1
2020-08-13 15:39:52.052 -0500,"Aborted",0:00:00,1,0,0,"20200813_153952.052/LogFile.txt","","",0
2020-08-13 15:40:52.124 -0500,"Success",0:00:07,0,0,0,"20200813_154052.124/LogFile.txt","","",1
2020-08-13 15:42:26.631 -0500,"Failure",0:00:22,1,0,1,"20200813_154226.631/LogFile.txt","","Image not found -- Image not found while scrolling Up.",0
