Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2020-11-02 17:11:46.422 -0600,"Failure",0:00:01,1,0,1,"20201102_171146.422/LogFile.txt","","File Not Found -- waitfor Error - Could Not Open Image: Chrome/Refresh Icon",0
2020-11-02 17:14:04.653 -0600,"Success",0:00:03,0,0,0,"20201102_171404.653/LogFile.txt","[""admin"",""pass""]","",1
2020-11-02 17:14:37.987 -0600,"Success",0:00:03,0,0,0,"20201102_171437.987/LogFile.txt","[""admin"",""pass""]","",1
2020-11-02 17:14:48.598 -0600,"Success",0:00:03,0,0,0,"20201102_171448.598/LogFile.txt","[""admin"",""pass""]","",1
2020-11-02 17:15:05.655 -0600,"Success",0:00:03,0,0,0,"20201102_171505.655/LogFile.txt","[""admin"",""pass""]","",1
2020-11-02 17:16:52.759 -0600,"Success",0:00:03,0,0,0,"20201102_171652.759/LogFile.txt","[""admin"",""pass""]","",1
2020-11-02 17:17:37.693 -0600,"Success",0:00:03,0,0,0,"20201102_171737.693/LogFile.txt","[""admin"",""pass""]","",1
2020-11-02 17:19:30.619 -0600,"Success",0:00:03,0,0,0,"20201102_171930.619/LogFile.txt","[""admin"",""pass""]","",1
2020-11-02 17:25:33.712 -0600,"Success",0:00:03,0,0,0,"20201102_172533.712/LogFile.txt","[""admin"",""pass""]","",1
2020-11-02 17:26:46.041 -0600,"Success",0:00:03,0,0,0,"20201102_172646.041/LogFile.txt","[""admin"",""pass""]","",1
2020-11-02 17:32:08.455 -0600,"Success",0:00:03,0,0,0,"20201102_173208.455/LogFile.txt","[""admin"",""pass""]","",1
2020-11-02 17:48:58.370 -0600,"Failure",0:00:00,1,0,1,"20201102_174858.370/LogFile.txt","","No Remote Connection -- typetext Error - Remote Connection Unavailable",0
2020-11-02 17:49:28.181 -0600,"Success",0:00:03,0,0,0,"20201102_174928.181/LogFile.txt","[""admin"",""pass""]","",1
2020-11-02 17:51:51.202 -0600,"Success",0:00:03,0,0,0,"20201102_175151.202/LogFile.txt","[""admin"",""pass""]","",1
2020-11-02 17:54:54.093 -0600,"Success",0:00:03,0,0,0,"20201102_175454.093/LogFile.txt","[""admin"",""pass""]","",1
2020-11-02 17:57:25.721 -0600,"Success",0:00:03,0,0,0,"20201102_175725.721/LogFile.txt","[""admin"",""pass""]","",1
2021-02-10 14:31:13.714 -0600,"Success",0:00:04,0,0,0,"20210210_143113.714/LogFile.txt","[""admin"",""pass""]","",1
