Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2020-11-16 09:48:46.605 -0600,"Failure",0:00:00,1,0,0,"20201116_094846.605/LogFile.txt","","STUnknownMessage -- ERROR: 'readtext' was called as a Command, but is only available as a Function",0
2020-11-16 09:50:53.555 -0600,"Success",0:00:01,0,0,0,"20201116_095053.555/LogFile.txt","","",1
2020-11-16 09:51:30.667 -0600,"Success",0:00:01,0,0,0,"20201116_095130.667/LogFile.txt","","",1
2020-11-16 09:51:46.763 -0600,"Success",0:00:01,0,0,0,"20201116_095146.763/LogFile.txt","","",1
2020-11-16 09:52:02.484 -0600,"Success",0:00:01,0,0,0,"20201116_095202.484/LogFile.txt","","",1
2020-11-16 09:52:23.302 -0600,"Success",0:00:01,0,0,0,"20201116_095223.302/LogFile.txt","","",1
2020-11-16 09:52:35.157 -0600,"Success",0:00:01,0,0,0,"20201116_095235.157/LogFile.txt","","",1
2020-11-16 09:59:29.791 -0600,"Success",0:00:00,0,0,0,"20201116_095929.791/LogFile.txt","","",1
2020-11-16 10:00:40.617 -0600,"Success",0:00:02,0,0,0,"20201116_100040.617/LogFile.txt","","",1
2020-11-16 10:00:53.045 -0600,"Success",0:00:10,0,1,0,"20201116_100053.045/LogFile.txt","","",1
2020-11-16 10:01:15.249 -0600,"Success",0:00:05,0,0,0,"20201116_100115.249/LogFile.txt","","",1
2020-11-16 10:01:30.087 -0600,"Success",0:00:05,0,0,0,"20201116_100130.087/LogFile.txt","","",1
2020-11-16 10:01:41.982 -0600,"Success",0:00:04,0,0,0,"20201116_100141.982/LogFile.txt","","",1
2020-11-16 10:01:55.648 -0600,"Success",0:00:05,0,0,0,"20201116_100155.648/LogFile.txt","","",1
2020-11-16 10:02:52.486 -0600,"Success",0:00:07,0,0,0,"20201116_100252.486/LogFile.txt","","",1
2020-11-16 10:03:10.390 -0600,"Success",0:00:09,0,0,0,"20201116_100310.390/LogFile.txt","","",1
2020-11-16 10:07:57.719 -0600,"Success",0:00:07,0,0,0,"20201116_100757.719/LogFile.txt","","",1
2020-11-16 10:08:13.892 -0600,"Success",0:00:07,0,0,0,"20201116_100813.892/LogFile.txt","","",1
2020-11-16 10:09:41.905 -0600,"Success",0:00:12,0,0,0,"20201116_100941.905/LogFile.txt","","",1
2020-11-16 10:09:59.786 -0600,"Success",0:00:11,0,0,0,"20201116_100959.786/LogFile.txt","","",1
2020-11-16 10:10:15.109 -0600,"Success",0:00:11,0,0,0,"20201116_101015.109/LogFile.txt","","",1
2020-11-16 10:11:03.900 -0600,"Success",0:00:16,0,0,0,"20201116_101103.900/LogFile.txt","","",1
2020-11-16 10:11:27.259 -0600,"Success",0:00:17,0,0,0,"20201116_101127.259/LogFile.txt","","",1
2020-11-16 10:12:28.352 -0600,"Success",0:00:16,0,0,0,"20201116_101228.352/LogFile.txt","","",1
2020-11-16 10:17:12.042 -0600,"Success",0:00:16,0,0,0,"20201116_101712.042/LogFile.txt","","",1
