Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2020-11-02 17:14:53.696 -0600,"Failure",0:00:00,1,0,1,"20201102_171453.696/LogFile.txt","","File Not Found -- waitfor Error - Could Not Open Image: (empty)",0
2020-11-02 17:15:10.784 -0600,"Failure",0:00:00,1,0,1,"20201102_171510.784/LogFile.txt","","File Not Found -- waitfor Error - Could Not Open Image: (empty)",0
2020-11-02 17:15:50.531 -0600,"Failure",0:00:00,1,0,1,"20201102_171550.531/LogFile.txt","","File Not Found -- waitfor Error - Could Not Open Image: (empty)",0
2020-11-02 17:16:00.326 -0600,"Failure",0:00:00,1,0,1,"20201102_171600.326/LogFile.txt","","File Not Found -- imagefound Error - Could Not Open Image: Login/NoThanks",0
2020-11-02 17:16:10.956 -0600,"Failure",0:00:00,1,0,1,"20201102_171610.956/LogFile.txt","","File Not Found -- click Error - Could Not Open Image: Login/Username",0
2020-11-02 17:16:28.447 -0600,"Success",0:00:07,0,0,0,"20201102_171628.447/LogFile.txt","","",1
2020-11-02 17:16:57.796 -0600,"Success",0:00:06,0,0,0,"20201102_171657.796/LogFile.txt","","",1
2020-11-02 17:17:42.588 -0600,"Success",0:00:06,0,0,0,"20201102_171742.588/LogFile.txt","","",1
2020-11-02 17:19:35.844 -0600,"Success",0:00:11,0,0,0,"20201102_171935.844/LogFile.txt","","",1
2020-11-02 17:25:38.897 -0600,"Success",0:00:11,0,0,0,"20201102_172538.897/LogFile.txt","","",1
2020-11-02 17:26:51.231 -0600,"Success",0:00:11,0,0,0,"20201102_172651.231/LogFile.txt","","",1
2020-11-02 17:32:13.301 -0600,"Success",0:00:11,0,0,0,"20201102_173213.301/LogFile.txt","","",1
2020-11-02 17:49:33.451 -0600,"Success",0:00:11,0,0,0,"20201102_174933.451/LogFile.txt","","",1
2020-11-02 17:51:56.320 -0600,"Success",0:00:11,0,0,0,"20201102_175156.320/LogFile.txt","","",1
2020-11-02 17:54:59.441 -0600,"Success",0:00:11,0,0,0,"20201102_175459.441/LogFile.txt","","",1
2020-11-02 17:57:30.773 -0600,"Success",0:00:11,0,0,0,"20201102_175730.773/LogFile.txt","","",1
