Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2020-04-14 17:28:04.174 -0500,"Success",0:00:02,0,0,0,"20200414_172804.174/LogFile.txt","","",1
2020-04-14 17:31:26.566 -0500,"Success",0:00:00,0,0,0,"20200414_173126.566/LogFile.txt","","",1
2020-04-14 17:34:28.975 -0500,"Success",0:00:00,0,0,0,"20200414_173428.975/LogFile.txt","","",1
2020-04-14 17:38:29.920 -0500,"Success",0:00:00,0,0,0,"20200414_173829.920/LogFile.txt","","",1
2020-04-14 17:40:25.013 -0500,"Success",0:00:00,0,0,0,"20200414_174025.013/LogFile.txt","","",1
2020-04-14 17:45:42.060 -0500,"Success",0:00:00,0,0,0,"20200414_174542.060/LogFile.txt","","",1
2020-04-14 17:47:48.062 -0500,"Success",0:00:00,0,0,0,"20200414_174748.062/LogFile.txt","","",1
2020-04-14 17:49:27.949 -0500,"Success",0:00:00,0,0,0,"20200414_174927.949/LogFile.txt","","",1
2020-04-14 17:50:45.013 -0500,"Success",0:00:00,0,0,0,"20200414_175045.013/LogFile.txt","","",1
2020-04-14 17:56:13.135 -0500,"Success",0:00:00,0,0,0,"20200414_175613.135/LogFile.txt","","",1
2020-04-14 18:01:06.982 -0500,"Success",0:00:00,0,0,0,"20200414_180106.982/LogFile.txt","","",1
2020-04-14 18:02:33.977 -0500,"Success",0:00:00,0,0,0,"20200414_180233.977/LogFile.txt","","",1
2020-04-14 18:39:02.544 -0500,"Failure",0:00:12,1,1,1,"20200414_183902.544/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""go2loginCommerce""",0
2020-04-14 18:40:10.008 -0500,"Success",0:00:01,0,0,0,"20200414_184010.008/LogFile.txt","","",1
2020-04-14 18:51:02.014 -0500,"Success",0:00:00,0,0,0,"20200414_185102.014/LogFile.txt","","",1
2020-04-14 18:58:40.548 -0500,"Success",0:00:00,0,0,0,"20200414_185840.548/LogFile.txt","","",1
2020-04-14 19:48:54.345 -0500,"Success",0:00:00,0,0,0,"20200414_194854.345/LogFile.txt","","",1
2020-04-14 19:53:31.707 -0500,"Failure",0:00:12,1,1,1,"20200414_195331.707/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""go2loginCommerce""",0
2020-04-14 21:01:11.083 -0500,"Success",0:00:00,0,0,0,"20200414_210111.083/LogFile.txt","","",1
2020-04-14 21:07:35.079 -0500,"Success",0:00:13,0,1,0,"20200414_210735.079/LogFile.txt","","",1
2020-04-14 21:09:34.284 -0500,"Success",0:00:00,0,0,0,"20200414_210934.284/LogFile.txt","","",1
2020-04-15 14:18:28.072 -0500,"Failure",0:00:08,1,1,1,"20200415_141828.072/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""go2loginCommerce""",0
2020-04-15 15:20:03.334 -0500,"Failure",0:00:05,1,1,1,"20200415_152003.334/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""go2loginCommerce""",0
2020-04-16 15:54:51.873 -0500,"Success",0:00:00,0,0,0,"20200416_155451.873/LogFile.txt","","",1
2020-04-16 15:56:29.138 -0500,"Success",0:00:00,0,0,0,"20200416_155629.138/LogFile.txt","","",1
2020-04-16 16:00:51.593 -0500,"Failure",0:00:08,1,1,1,"20200416_160051.593/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""go2loginCommerce""",0
2020-04-16 16:02:47.079 -0500,"Failure",0:00:07,1,1,1,"20200416_160247.079/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""go2loginCommerce""",0
2020-04-16 16:12:30.559 -0500,"Failure",0:00:08,1,1,1,"20200416_161230.559/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""go2loginCommerce""",0
2020-04-16 16:14:43.100 -0500,"Success",0:00:01,0,0,0,"20200416_161443.100/LogFile.txt","","",1
2020-04-16 16:28:03.184 -0500,"Success",0:00:02,0,0,0,"20200416_162803.184/LogFile.txt","","",1
2020-04-16 16:53:24.341 -0500,"Success",0:00:01,0,0,0,"20200416_165324.341/LogFile.txt","","",1
2020-04-16 16:55:30.066 -0500,"Success",0:00:01,0,0,0,"20200416_165530.066/LogFile.txt","","",1
2020-04-16 16:59:39.505 -0500,"Success",0:00:18,0,2,0,"20200416_165939.505/LogFile.txt","","",1
2020-04-16 17:02:20.193 -0500,"Success",0:00:20,0,2,0,"20200416_170220.193/LogFile.txt","","",1
2020-04-16 17:06:04.552 -0500,"Success",0:00:21,0,2,0,"20200416_170604.552/LogFile.txt","","",1
2020-04-16 17:22:41.383 -0500,"Success",0:00:08,0,1,0,"20200416_172241.383/LogFile.txt","","",1
2020-04-16 17:26:42.073 -0500,"Success",0:00:08,0,1,0,"20200416_172642.073/LogFile.txt","","",1
2020-04-16 17:34:42.744 -0500,"Success",0:00:08,0,1,0,"20200416_173442.744/LogFile.txt","","",1
2020-04-16 17:39:24.796 -0500,"Success",0:00:08,0,1,0,"20200416_173924.796/LogFile.txt","","",1
2020-04-17 10:19:43.584 -0500,"Success",0:00:07,0,1,0,"20200417_101943.584/LogFile.txt","","",1
2020-04-17 10:29:59.191 -0500,"Success",0:00:08,0,1,0,"20200417_102959.191/LogFile.txt","","",1
2020-04-20 09:19:28.078 -0500,"Success",0:00:01,0,0,0,"20200420_091928.078/LogFile.txt","","",1
2020-04-20 09:34:15.690 -0500,"Success",0:00:01,0,0,0,"20200420_093415.690/LogFile.txt","","",1
2020-04-20 09:57:23.159 -0500,"Success",0:00:01,0,0,0,"20200420_095723.159/LogFile.txt","","",1
2020-04-20 09:58:57.514 -0500,"Success",0:00:01,0,0,0,"20200420_095857.514/LogFile.txt","","",1
2020-04-20 09:59:38.507 -0500,"Success",0:00:01,0,0,0,"20200420_095938.507/LogFile.txt","","",1
