Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2020-06-08 09:04:46.887 -0500,"Aborted",0:00:01,1,0,0,"20200608_090446.887/LogFile.txt","","",0
2020-06-08 09:05:12.595 -0500,"Success",0:00:05,0,0,0,"20200608_090512.595/LogFile.txt","","",1
2020-06-08 09:11:16.143 -0500,"Success",0:00:05,0,0,0,"20200608_091116.143/LogFile.txt","","",1
2020-06-08 11:16:18.993 -0500,"Success",0:00:06,0,0,0,"20200608_111618.993/LogFile.txt","","",1
2020-06-08 12:29:43.151 -0500,"Success",0:00:05,0,0,0,"20200608_122943.151/LogFile.txt","","",1
2020-06-08 13:03:58.684 -0500,"Failure",0:00:18,1,1,1,"20200608_130358.684/LogFile.txt","","Image Not Found -- click Error - No Image Found On Screen: ""Laptops/PriceHightoLow""",0
2020-06-08 14:15:02.540 -0500,"Success",0:00:05,0,0,0,"20200608_141502.540/LogFile.txt","","",1
2020-06-09 08:34:40.563 -0500,"Success",0:00:06,0,0,0,"20200609_083440.563/LogFile.txt","","",1
2020-06-17 13:48:11.756 -0500,"Success",0:00:06,0,0,0,"20200617_134811.756/LogFile.txt","","",1
2020-06-17 13:48:20.816 -0500,"Success",0:00:06,0,0,0,"20200617_134820.816/LogFile.txt","","",1
2020-06-17 13:51:47.924 -0500,"Success",0:00:06,0,0,0,"20200617_135147.924/LogFile.txt","","",1
2020-06-17 14:13:09.671 -0500,"Aborted",0:00:08,1,0,0,"20200617_141309.671/LogFile.txt","","",0
2020-06-17 14:13:23.783 -0500,"Success",0:00:06,0,0,0,"20200617_141323.783/LogFile.txt","","",1
2020-06-17 14:13:39.758 -0500,"Success",0:00:06,0,0,0,"20200617_141339.758/LogFile.txt","","",1
2020-06-17 14:17:17.775 -0500,"Aborted",0:00:17,1,1,1,"20200617_141717.775/LogFile.txt","","",0
2020-06-17 14:17:46.782 -0500,"Aborted",0:00:15,1,1,0,"20200617_141746.782/LogFile.txt","","",0
2020-06-17 14:22:07.424 -0500,"Failure",0:00:04,1,0,0,"20200617_142207.424/LogFile.txt","","AssertionFailed --  (assertion: actualPrice is expectedPrice; actually: $1,800.00 IS NOT equal to $1500.00)",0
2020-06-17 14:43:18.894 -0500,"Failure",0:00:03,1,0,0,"20200617_144318.894/LogFile.txt","","AssertionFailed --  (assertion: actualPrice is expectedPrice; actually: $1,800.00 IS NOT equal to $1500.00)",0
2020-06-18 07:47:55.607 -0500,"Failure",0:00:03,1,0,0,"20200618_074755.607/LogFile.txt","","AssertionFailed --  (assertion: actualPrice is expectedPrice; actually: $1,800.00 IS NOT equal to $1500.00)",0
2020-06-19 07:14:39.405 -0500,"Failure",0:00:04,1,0,0,"20200619_071439.405/LogFile.txt","","AssertionFailed --  (assertion: actualPrice is expectedPrice; actually: $1,800.00 IS NOT equal to $1500.00)",0
2020-06-24 09:07:07.267 -0500,"Failure",0:00:06,1,0,0,"20200624_090707.267/LogFile.txt","","AssertionFailed --  (assertion: actualPrice is expectedPrice; actually: $1,800.00 IS NOT equal to $1500.00)",0
